Company,Job Title,Job Link,Location,Posting Date,Days Since Posted,Function,Seniority,Company_Group,Product_Focus,Product_Focus_Tokens,Primary_Skill,Extracted_Skills,Relevancy_to_Actian,Trend_Score,AI_Analyst_Overlap,First_Seen,Last_Seen,Description
Acceldata,Associate Product Support Engineer,https://jobs.lever.co/acceldata/28cc7f03-1b6b-49e7-8aaf-552f3405c7cc,Bengaluru,2026-04-15,14,Engineering,Entry,Other,Platform / Infra,"[""Platform / Infra""]",PRODUCT,"[""PRODUCT"", ""ENGINEERING""]",2.4,0.0,,2026-04-16,2026-04-29,
Acceldata,Enterprise Account Executive,https://jobs.lever.co/acceldata/9c1e2902-deb2-4577-8028-8bdf9adc1b48,United States,2026-04-28,1,Sales,Mid,Other,Go-to-Market,"[""Go-to-Market""]",,[],1.6,0.0,,2026-04-29,2026-04-29,"ABOUT US Acceldata is the market leader in Enterprise Data Observability. Founded in 2018 and backed by top investors including Insight Partners, March Capital, Lightspeed, Sorenson Ventures, Industry Ventures, and Emergent Ventures, we are a Series-C funded company headquartered in Silicon Valley. Our Enterprise Data Observability Platform—the first of its kind—helps enterprises build and operate world-class data products by ensuring data is reliable, trusted, and ready to power today’s most critical technologies, including AI, LLMs, Analytics, and DataOps. Delivered as a SaaS solution, Accel"
Acceldata,Enterprise Account Executive - Great Lakes,https://jobs.lever.co/acceldata/9bdbe07c-582b-44bb-98f2-65885f410a6f,United States,2026-04-28,1,Sales,Mid,Other,Go-to-Market,"[""Go-to-Market""]",ETL,"[""ETL"", ""SQL"", ""PYTHON""]",4.9,0.0,,2026-04-29,2026-04-29,"ABOUT US Acceldata is the market leader in Enterprise Data Observability. Founded in 2018 and backed by top investors including Insight Partners, March Capital, Lightspeed, Sorenson Ventures, Industry Ventures, and Emergent Ventures, we are a Series-C funded company headquartered in Silicon Valley. Our Enterprise Data Observability Platform—the first of its kind—helps enterprises build and operate world-class data products by ensuring data is reliable, trusted, and ready to power today’s most critical technologies, including AI, LLMs, Analytics, and DataOps. Delivered as a SaaS solution, Accel"
Acceldata,Hadoop Product Support Engineer,https://jobs.lever.co/acceldata/fcb0243b-d48a-481a-93b8-d5d86e27968c,Bengaluru,2026-04-15,14,Engineering,Mid,Other,Platform / Infra,"[""Platform / Infra""]",PRODUCT,"[""PRODUCT"", ""ENGINEERING""]",2.7,0.0,,2026-04-16,2026-04-29,
Acceldata,"Manager, Global Events and Field Marketing",https://jobs.lever.co/acceldata/226ec621-56fe-4c52-87fc-12731cb7c91d,California,2026-03-24,36,Marketing,Manager,Other,Go-to-Market,"[""Go-to-Market""]",MANAGEMENT,"[""MANAGEMENT""]",0.8,0.0,,2026-04-08,2026-04-29,
Acceldata,Motion Designer - Enterprise SaaS,https://jobs.lever.co/acceldata/e7c96afc-e0e3-4574-9bab-95f091d2b776,Bengaluru,2026-02-26,62,Design,Mid,Other,Product Management,"[""Product Management""]",,[],1.6,0.0,,2026-04-08,2026-04-29,
Acceldata,Office Manager & Executive Assistant,https://jobs.lever.co/acceldata/7f4468bc-1e9f-4a04-84a3-7279b120ae29,Kitchener,2026-04-17,12,Operations,Manager,Other,Corporate Functions,"[""Corporate Functions""]",MANAGEMENT,"[""MANAGEMENT""]",0.8,0.0,,2026-04-18,2026-04-29,
Acceldata,Principal Engineer - Open Source Data Platform (ODP),https://jobs.lever.co/acceldata/307e052c-a765-4b81-ba97-53f007e5d96b,Kitchener,2026-03-16,44,Engineering,Principal/Staff,Other,Developer Tools,"[""Developer Tools""]",ENGINEERING,"[""ENGINEERING"", ""DEVOPS""]",1.4,1.0,,2026-04-08,2026-04-29,
Acceldata,Principal Frontend Engineer,https://jobs.lever.co/acceldata/040901c5-dbe2-4858-a893-b10b394ea2ae,Bengaluru,2025-10-28,183,Engineering,Principal/Staff,Other,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING""]",3.6,1.0,,2026-04-08,2026-04-29,
Acceldata,Product Specialist,https://jobs.lever.co/acceldata/eb9b9c49-11de-425f-9576-05d81443b869,Bengaluru,2025-10-24,187,Operations,Mid,Other,Corporate Functions,"[""Corporate Functions""]",PRODUCT,"[""PRODUCT""]",1.6,0.0,,2026-04-08,2026-04-29,
Acceldata,Product Support Engineer (Hadoop),https://jobs.lever.co/acceldata/1f2eb6ad-cfb6-410f-bb50-8348e8240f98,"Campbell, CA",2026-04-20,9,Engineering,Mid,Other,Platform / Infra,"[""Platform / Infra""]",PRODUCT,"[""PRODUCT"", ""ENGINEERING""]",1.6,0.0,,2026-04-20,2026-04-29,
Acceldata,Senior Product Operations Manager,https://jobs.lever.co/acceldata/8cd99e11-43df-48ab-bc7f-4371ee896259,Bengaluru,2025-11-03,177,Operations,Senior,Other,Corporate Functions,"[""Corporate Functions""]",PRODUCT,"[""PRODUCT"", ""MANAGEMENT""]",1.9,1.0,,2026-04-08,2026-04-29,
