Company,Job Title,Job Link,Location,Posting Date,Days Since Posted,Function,Seniority,Company_Group,Product_Focus,Product_Focus_Tokens,Primary_Skill,Extracted_Skills,Relevancy_to_Actian,Trend_Score,First_Seen,Last_Seen
Acceldata,"Manager, Global Events and Field Marketing",https://jobs.lever.co/acceldata/226ec621-56fe-4c52-87fc-12731cb7c91d,California,2026-03-24,3,Marketing,Manager,Data Observability,Go-to-Market,"[""Go-to-Market""]",MANAGEMENT,"[""MANAGEMENT""]",4.5,0.0,2026-03-25,2026-03-27
Acceldata,Motion Designer - Enterprise SaaS,https://jobs.lever.co/acceldata/e7c96afc-e0e3-4574-9bab-95f091d2b776,Bengaluru,2026-02-26,29,Design,Mid,Data Observability,Product Management,"[""Product Management""]",,[],5.8,0.0,2026-03-25,2026-03-27
Acceldata,Partner Sales Manager,https://jobs.lever.co/acceldata/76f52907-61e3-40e4-92b3-511668193953,Canada,2026-01-21,65,Sales,Manager,Data Observability,Go-to-Market,"[""Go-to-Market""]",MANAGEMENT,"[""MANAGEMENT"", ""ANALYTICS""]",6.5,0.0,2026-03-25,2026-03-27
Acceldata,Principal Engineer - Frontend,https://jobs.lever.co/acceldata/040901c5-dbe2-4858-a893-b10b394ea2ae,Bengaluru,2025-10-28,150,Engineering,Principal/Staff,Data Observability,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING""]",9.5,1.0,2026-03-25,2026-03-27
Acceldata,Principal Engineer - Open Source Data Platform (ODP),https://jobs.lever.co/acceldata/307e052c-a765-4b81-ba97-53f007e5d96b,Kitchener,2026-03-16,11,Engineering,Principal/Staff,Data Observability,Developer Tools,"[""Developer Tools""]",ENGINEERING,"[""ENGINEERING"", ""DEVOPS""]",5.5,1.0,2026-03-25,2026-03-27
Acceldata,Product Specialist - Hadoop,https://jobs.lever.co/acceldata/eb9b9c49-11de-425f-9576-05d81443b869,Bengaluru,2025-10-24,154,Operations,Mid,Data Observability,Corporate Functions,"[""Corporate Functions""]",PRODUCT,"[""PRODUCT""]",5.8,0.0,2026-03-25,2026-03-27
Acceldata,Senior Product Operations Manager,https://jobs.lever.co/acceldata/8cd99e11-43df-48ab-bc7f-4371ee896259,Bengaluru,2025-11-03,144,Operations,Senior,Data Observability,Corporate Functions,"[""Corporate Functions""]",PRODUCT,"[""PRODUCT"", ""MANAGEMENT""]",6.5,1.0,2026-03-25,2026-03-27
Acceldata,"Senior Software Engineer - Open Data Platform (ODP) | Kitchener, Canada",https://jobs.lever.co/acceldata/e33dd25d-2943-48f3-a01e-be2b03245be9,Kitchener,2025-10-24,154,Engineering,Senior,Data Observability,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING"", ""DEVOPS"", ""PYTHON"", ""SQL""]",6.5,1.0,2026-03-25,2026-03-27
Acceldata,Site Reliability Engineer - Hadoop Modernization,https://jobs.lever.co/acceldata/1f0af3a2-a2f4-4e62-a347-1b85524b0c87,Bengaluru,2025-11-13,134,Engineering,Mid,Data Observability,Data Observability,"[""Data Observability""]",ENGINEERING,"[""ENGINEERING"", ""DEVOPS"", ""ANALYTICS"", ""SQL""]",10.8,0.0,2026-03-25,2026-03-27
Acceldata,Software Engineer - Open Data Platform (ODP),https://jobs.lever.co/acceldata/0c47e882-83ff-471e-ba75-5543796aa34a,Bengaluru,2025-08-29,210,Engineering,Mid,Data Observability,Platform / Infra,"[""Platform / Infra""]",ENGINEERING,"[""ENGINEERING"", ""DEVOPS"", ""PYTHON"", ""SQL""]",7.8,0.0,2026-03-25,2026-03-27
